HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Oldham Athletic,Chesterfield,0,2,0,0
Scunthorpe United,Boreham Wood,0,2,0,0
Solihull Moors,Altrincham,5,1,1,1
Southend United,Torquay United,1,2,1,1
Yeovil Town,York City,0,1,0,0
Wealdstone,Woking,1,1,1,0
Altrincham,Scunthorpe United,2,2,1,1
Barnet,Dorking Wanderers,0,1,0,0
Boreham Wood,Maidenhead United,1,0,0,0
Chesterfield,Southend United,3,2,1,1
Eastleigh,Yeovil Town,1,1,1,0
Halifax Town,Gateshead,2,0,0,0
Maidstone United,Wealdstone,1,1,1,0
Notts County,Aldershot Town,2,0,0,0
Torquay United,Solihull Moors,1,4,1,1
Woking,Oldham Athletic,3,0,0,1
Wrexham,Dagenham & Redbridge,4,1,1,1
York City,Bromley,2,1,1,1
Bromley,Maidstone United,3,0,0,1
Dagenham & Redbridge,Altrincham,4,1,1,1
Dorking Wanderers,Notts County,3,1,1,1
Gateshead,Boreham Wood,1,1,1,0
Maidenhead United,Woking,1,0,0,0
Oldham Athletic,Eastleigh,3,2,1,1
Scunthorpe United,York City,1,1,1,0
Solihull Moors,Barnet,1,1,1,0
Southend United,Wrexham,0,0,0,0
Wealdstone,Torquay United,1,1,1,0
Yeovil Town,Chesterfield,2,2,1,1
Aldershot Town,Halifax Town,5,1,1,1
Altrincham,Aldershot Town,1,0,0,0
Bromley,Oldham Athletic,3,0,0,1
Dagenham & Redbridge,Barnet,5,4,1,1
Eastleigh,Halifax Town,1,0,0,0
Maidenhead United,Gateshead,0,1,0,0
Maidstone United,Chesterfield,1,2,1,1
Scunthorpe United,Dorking Wanderers,3,2,1,1
Wealdstone,Southend United,0,1,0,0
Woking,Solihull Moors,2,0,0,0
Wrexham,Torquay United,6,0,0,1
